Index,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Power_Steering,Power_Windows,Power,Torque,Speedometer,Type,Wheelbase,Wheels_Size,Basic_Warranty,Ventilation_System,Column1,_1,ABS_(Anti-lock_Braking_System),Gross_Vehicle_Weight,Airbags,Number_of_Airbags,Compression_Ratio,Parking_Assistance,Average_Speed,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57
709,Toyota,Innova Crysta,Touring Sport 2.7 Vx 7 Str,"Rs. 18,92,000",2393 cc,4,4,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,55 litres,Petrol,1795 mm,4735 mm,1830 mm,MUV,5,11.2 km/litre,,11.25 km/litre,,1815 kg,5,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,166PS@5200rpm,245Nm@4000rpm,Analog,Manual,2750 mm,205/65R16,"3 Years/1,00,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,2430 kg,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",3,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Toyota,Innova Crysta,Touring Sport 2.7 Zx At 7 Str,"Rs. 21,71,000",2694 cc,4,4,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,55 litres,Petrol,1795 mm,4735 mm,1830 mm,MUV,5,11.2 km/litre,,10.75 km/litre,,1870 kg,6,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,166PS@5200rpm,245Nm@4000rpm,Analog,Automatic,2750 mm,215/55R17,"3 Years/1,00,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,2450 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag, Drive side airbag",7,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Toyota,Innova Crysta,2.4 G Plus 7 Str,"Rs. 15,92,000",2393 cc,4,4,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,55 litres,Diesel,1795 mm,4735 mm,1830 mm,MUV,5,12 km/litre,,15.4 km/litre,,1805 kg,5,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,150PS@3400rpm,343Nm@1400-2800rpm,Analog,Manual,2750 mm,205/65R16,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual Air conditioning with cooling and heating,,,Yes,2430 kg,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Toyota,Innova Crysta,2.4 G Plus 8 Str,"Rs. 15,87,000",2393 cc,4,4,RWD (Rear Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,55 litres,Diesel,1795 mm,4735 mm,1830 mm,MUV,5,12 km/litre,,15.1 km/litre,,1825 kg,5,167 mm,Ventilated Disc,Drum,Electric Power,All Windows,150PS@3400rpm,343Nm@1400-2800rpm,Analog,Manual,2750 mm,205/65R16,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual Air conditioning with cooling and heating,,,Yes,2480 kg,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Toyota,Corolla Altis,G Petrol,"Rs. 16,45,000",1798 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55 litres,Petrol,1475 mm,4620 mm,1775 mm,Sedan,4,9.5 km/litre,,16.7 km/litre,,1220 kg,6,175 mm,Ventilated Disc,Solid Disc,Electric Power,All Windows,140PS@6400rpm,173Nm@4000rpm,Analog,Manual,2700 mm,195/65R15,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,1660 kg,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",3,10.6:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Toyota,Corolla Altis,G At Petrol,"Rs. 18,06,000",1798 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55 litres,Petrol,1475 mm,4620 mm,1775 mm,Sedan,4,9.5 km/litre,,16.7 km/litre,,1260 kg,7,175 mm,Ventilated Disc,Solid Disc,Electric Power,All Windows,140PS@6400rpm,173Nm@4000rpm,Analog,Automatic,2700 mm,195/65R15,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,1680 kg,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",3,10.6:1,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,Toyota,Corolla Altis,Gl Petrol,"Rs. 18,82,000",1798 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55 litres,Petrol,1475 mm,4620 mm,1775 mm,Sedan,4,9.5 km/litre,,16.7 km/litre,,1280 kg,6,175 mm,Ventilated Disc,Solid Disc,Electric Power,All Windows,140PS@6400rpm,173Nm@4000rpm,Analog,Manual,2700 mm,205/55R16,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,1695 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",7,,Rear sensors with camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Toyota,Corolla Altis,Gl Diesel,"Rs. 19,36,000",1364 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43 litres,Diesel,1475 mm,4620 mm,1775 mm,Sedan,4,18.2 km/litre,21 km/litre,21 km/litre,,1270 kg,6,175 mm,Ventilated Disc,Solid Disc,Electric Power,All Windows,88.4PS@3800rpm,205Nm@1800-2800rpm,Analog,Manual,2700 mm,195 / 65 R15,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,1670 kg,"Driver knee airbag, Driver frontal airbag, Front passenger frontal airbag",3,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Toyota,Corolla Altis,G Diesel,"Rs. 17,71,000",1364 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,43 litres,Diesel,1475 mm,4620 mm,1775 mm,Sedan,4,18.4 km/litre,21 km/litre,21 km/litre,,1230 kg,6,175 mm,Ventilated Disc,Solid Disc,Electric Power,All Windows,88.4PS@3800rpm,205Nm@1800-2800rpm,Analog,Manual,2700 mm,195 / 65 R15,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,1670 kg,"Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",3,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Toyota,Corolla Altis,Vl At Petrol,"Rs. 20,19,000",1798 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,55 litres,Petrol,1475 mm,4620 mm,1775 mm,Sedan,4,9.5 km/litre,,16.7 km/litre,,1310 kg,6,175 mm,Ventilated Disc,Solid Disc,Electric Power,All Windows,140PS@6400rpm,173Nm@4000rpm,Analog,Automatic,2700 mm,205/55R16,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,1710 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Driver knee airbag",7,,Rear sensors with camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,Honda,Civic,1.8 V Cvt,"Rs. 17,93,900",1799 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,47 litres,Petrol,1433 mm,4656 mm,1799 mm,Sedan,4,,,16.5 km/litre,,1268 kg,7,,Ventilated Disc,Solid Disc,Yes,All Windows,141PS@6500rpm,174Nm@4300rpm,Yes,Automatic,2700 mm,215/55 R16,,Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",4,,Rear sensors with camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Honda,Civic,1.8 Vx Cvt,"Rs. 19,44,900",1799 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,47 litres,Petrol,1433 mm,4656 mm,1799 mm,Sedan,4,,,16.5 km/litre,,1275 kg,7,,Ventilated Disc,Solid Disc,Electric Power,All Windows,141PS@6500rpm,174Nm@4300rpm,Digital,Automatic,2700 mm,215/55 R16,,2 Zone Climate Control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger side airbag",4,,Front & rear sensors with 360 degree view,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,Honda,Civic,1.8 Zx Cvt,"Rs. 21,24,900",1799 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,47 litres,Petrol,1433 mm,4656 mm,1799 mm,Sedan,4,,,16.8 km/litre,,1300 kg,7,,Ventilated Disc,Solid Disc,Electric Power,All Windows,141PS@6500rpm,174Nm@4300rpm,Digital,Automatic,2700 mm,215/50 R17,,2 Zone Climate Control,,,Yes,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",8,,Front & rear sensors with 360 degree view,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Honda,Civic,1.6 Vx Mt,"Rs. 20,54,900",1597 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,47 litres,Diesel,1433 mm,4656 mm,1799 mm,Sedan,4,,,26.8 km/litre,,1325 kg,6,,Ventilated Disc,Solid Disc,Electric Power,All Windows,120ps@4000,300Nm@2000,Yes,Manual,2700 mm,215/55 R16,,2 Zone Climate Control,,,Yes,,"Driver frontal airbag, Front passenger curtain airbag, Front passenger frontal airbag, Driver curtain airbag",4,10.5,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Honda,Civic,1.6 Zx Mt,"Rs. 22,34,900",1597 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,47 litres,Diesel,1433 mm,4656 mm,1799 mm,Sedan,4,,,26.8 km/litre,,1353 kg,6,,Ventilated Disc,Solid Disc,Electric Power,All Windows,120PS@4000RPM,300NM@2000rpm,Digital,Manual,2700 mm,215/50 R17,,2 Zone Climate Control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Curtain airbags",8,,Front & rear sensors with 360 degree view,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Kia,Carnival,Premium 7 Str,"Rs. 24,95,000",2199 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,,Diesel,1755 mm,5115 mm,1985 mm,MUV,5,,,,,,8,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,200PS@3800rpm,440Nm@1750-2750rpm,Analog,Automatic,3060 mm,235/60 R18,3 Years Warranty,3 Zone climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Kia,Carnival,Premium 8 Str,"Rs. 25,15,000",2199 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,,Diesel,1755 mm,5115 mm,1985 mm,MUV,5,,,,,,8,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,200PS@3800rpm,440Nm@1750-2750rpm,Analog,Automatic,3060 mm,235/60 R18,3 Years Warranty,3 Zone climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Kia,Carnival,Prestige 7 Str,"Rs. 28,95,000",2199 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,,Diesel,1755 mm,5115 mm,1985 mm,MUV,5,,,,,,8,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,200PS@3800rpm,440Nm@1750-2750rpm,Analog,Automatic,3060 mm,235/60 R18,3 Years Warranty,3 Zone climate control,,,Yes,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Kia,Carnival,Prestige 9 (6+3) Str,"Rs. 29,95,000",2199 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,,Diesel,1755 mm,5115 mm,1985 mm,MUV,5,,,,,,8,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,200PS@3800rpm,440Nm@1750-2750rpm,Analog,Automatic,3060 mm,235/60 R18,3 Years Warranty,3 Zone climate control,,,Yes,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6,,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Kia,Carnival,Limousine 7 Str,"Rs. 33,95,000",2199 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,,Diesel,1755 mm,5115 mm,1985 mm,MUV,5,,,,,,8,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,200PS@3800rpm,440Nm@1750-2750rpm,Analog,Automatic,3060 mm,235/60 R18,3 Years Warranty,3 Zone climate control,,,Yes,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",6,,Front & rear sensors with 360 degree view,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Toyota,Fortuner,2.8 4X2 At,"Rs. 32,05,000",2755 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,80 litres,Diesel,1835 mm,4795 mm,1855 mm,SUV,5,12.55 km/litre,12.9 km/litre,12.9 km/litre,,1970 kg,5,220 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,177PS@3400rpm,450Nm@1600-2400rpm,Analog,Automatic,2745 mm,265/65R17,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2610 kg,"Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag, Curtain airbags, Driver frontal airbag",7,15.6:1,Rear sensors with camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,Toyota,Fortuner,2.8 4X2 Mt,"Rs. 30,19,000",2755 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,80 litres,Diesel,1835 mm,4795 mm,1855 mm,SUV,5,"12,55 km/litre",14.24 km/litre,14.24 km/litre,,1970 kg,5,220 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,177PS@3400rpm,420Nm@1600-2400rpm,Analog,Manual,2745 mm,R17,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2610 kg,"Front passenger side airbag, Rear passenger side airbags, Curtain airbags, Driver frontal airbag, Drive side airbag, Front passenger frontal airbag",7,15.6:1,Rear sensors with camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Toyota,Fortuner,2.8 4X4 Mt,"Rs. 32,16,000",2755 cc,4,4,4WD,In-line,BS IV,"Front, Transverse",Injection,80 litres,Diesel,1835 mm,4795 mm,1855 mm,SUV,5,"12,55 km/litre",14.24 km/litre,14.24 km/litre,,,5,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,177PS@3400rpm,420Nm@1600-2400rpm,Analog,Manual,2745 mm,R18,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2735 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",7,,Rear sensors with camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Toyota,Fortuner,2.8 4X4 At,"Rs. 33,95,000",2755 cc,4,4,4WD,In-line,BS IV,"Front, Transverse",Injection,80 litres,Diesel,1835 mm,4795 mm,1855 mm,SUV,5,"12,55 km/litre",12.9 km/litre,12.9 km/litre,,,5,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,177PS@3400rpm,450Nm@1600-2400rpm,Analog,Automatic,2745 mm,R18,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2735 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags, Drive side airbag",7,,Rear sensors with camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Toyota,Fortuner,2.7 4X2 At,"Rs. 29,77,000",2694 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,80 litres,Petrol,1835 mm,4795 mm,1855 mm,SUV,5,7.8 km/litre,10.26 km/litre,10.26 km/litre,,,5,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,166PS@5200rpm,245Nm@4000rpm,Analog,Automatic,2745 mm,R17,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2500 kg,"Drive side airbag, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",7,,Rear sensors with camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,Toyota,Fortuner,2.7 4X2 Mt,"Rs. 28,18,000",2694 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,80 litres,Petrol,1835 mm,4795 mm,1855 mm,SUV,5,7.8 km/litre,10.01 km/litre,10.01 km/litre,,,5,,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,166PS@5200rpm,245Nm@4000rpm,Analog,Manual,2745 mm,R17,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2500 kg,"Driver frontal airbag, Drive side airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",7,,Rear sensors with camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Toyota,Fortuner,Trd Celebratory Edition,"Rs. 34,20,000",2755 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,80 litres,Diesel,1835 mm,4795 mm,1855 mm,SUV,5,12.55 km/litre,12.9 km/litre,12.9 km/litre,,1970 kg,6,220 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,177PS@3400rpm,450Nm@1600-2400rpm,Analog,Automatic,2745 mm,265/65R18,3 years /100000 Kms (years/distance whichever comes first),Fully automatic climate control,,,Yes,2610 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag",7,,"Rear sensors, Rear sensors with camera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Jaguar,Xj,3.0L,"Rs. 97,38,609",2993 cc,6,4,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,82 litres,Diesel,1457 mm,5252 mm,1899 mm,Sedan,4,9.5 km/litre,10.5 km/litre,12.9 km/litre,,1871 kg,8,100 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,All Windows,274PS@4000RPM,600Nm@3500rpm,Analog,Automatic,3157 mm,245/45 R19,"3 Years/1,00,000 Kms (Whichever comes earlier)",4 Zone climate control,,,Yes,2450 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags",6,16:01,Front & rear sensors with 360 degree view,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,Jaguar,Xj,3.0L Portfolio,"Rs. 1,07,25,145",2993 cc,6,4,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,83 litres,Diesel,1457 mm,5252 mm,1899 mm,Sedan,4,9.5 km/litre,10.5 km/litre,12.9 km/litre,,1871 kg,8,100 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,All Windows,274PS@4000RPM,600Nm@3500rpm,Analog,Automatic,3157 mm,245/45 R19,"3 Years/1,00,000 Kms (Whichever comes earlier)",4 Zone climate control,,,Yes,2450 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",6,16:01,Front & rear sensors with 360 degree view,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,Jaguar,Xj,50,"Rs. 1,11,29,599",2993 cc,6,4,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,82 litres,Diesel,1460 mm,5255 mm,1899 mm,Sedan,4,9.5 km/litre,10.5 km/litre,12.9 km/litre,,1860 kg,8,100 mm,Ventilated Disc,Ventilated Disc,Hydraulic Power,All Windows,302bhp@4000RPM,689Nm@1800rpm,Analog,Automatic,3157 mm,245/45 R19,"3 Years/1,00,000 Kms (Whichever comes earlier)",4 Zone climate control,,,Yes,2450 kg,"Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag",6,16:01,Front & rear sensors with 360 degree view,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,Toyota,Land Cruiser,Vx,"Rs. 1,46,99,000",4461 cc,8,4,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,93 litres,Diesel,1910 mm,4950 mm,1980 mm,SUV,5,5.3 km/litre,9 km/litre,9 km/litre,,2740 kg,6,225 mm,Ventilated Disc,Ventilated Disc,Electric Power,All Windows,265PS@3400rpm,650Nm@1600-2600rpm,Analog,Automatic,2850 mm,285/60R18,3 years /100000 Kms (years/distance whichever comes first),4 Zone climate control,,,Yes,3350 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Curtain airbags, Drive side airbag, Front passenger knee airbag",8,10.2:1,Front and rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,Maruti Suzuki,Omni,5 Str Bs-Iv,"Rs. 2,82,778",796 cc,3,2,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,35 litres,Petrol,1640 mm,3370 mm,1410 mm,MPV,5,13 km/litre,14.7 km/litre,16.8 km/litre,,785 kg,4,165 mm,Solid Disc,Drum,,,34.7PS@5000rpm,59Nm@2500rpm,Analog,Manual,1840 mm,R12,2 years /40000 Kms (years/distance whichever comes first),,,,,NA kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Maruti Suzuki,Omni,E 8 Str Bs-Iv,"Rs. 2,84,485",796 cc,3,2,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,36 litres,Petrol,1640 mm,3370 mm,1410 mm,MPV,5,13 km/litre,14.7 km/litre,16.8 km/litre,,785 kg,4,165 mm,Solid Disc,Drum,,,34.7PS@5000rpm,59Nm@2500rpm,Analog,Manual,1840 mm,R12,2 years /40000 Kms (years/distance whichever comes first),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Maruti Suzuki,Baleno,1.3 Delta,"Rs. 7,46,621",1248 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,37 litres,Diesel,1510 mm,3995 mm,1745 mm,Hatchback,5,27.39 km/litre,,27.39 km/litre,,970 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,75PS@4000rpm,190Nm@2000rpm,Analog,Manual,2520 mm,185/65R15,"2 Years / 40,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Maruti Suzuki,Baleno,1.3 Alpha,"Rs. 8,68,221",1248 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,37 litres,Diesel,1500 mm,3995 mm,1745 mm,Hatchback,5,27.39 km/litre,,27.39 km/litre,,985 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,All Windows,75PS@4000rpm,190Nm@2000rpm,Analog,Manual,2520 mm,195/55R16,"2 Years / 40,000 Kms (Whichever comes earlier)",Fully automatic climate control,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,Rear sensors with camera,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Maruti Suzuki,Baleno,1.3 Sigma,"Rs. 6,68,611",1248 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,37 litres,Diesel,1500 mm,3995 mm,1745 mm,Hatchback,5,27.39 km/litre,,27.39 km/litre,,960 kg,5,170 mm,Ventilated Disc,Drum,Electric Power,Only Front Windows,75PS@4000rpm,190Nm@2000rpm,Analog,Manual,2520 mm,185/65R15,"2 Years / 40,000 Kms (Whichever comes earlier)",Manual Air conditioning with cooling and heating,,,Yes,,"Driver frontal airbag, Front passenger frontal airbag",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
